nif,name,date,payed,amount,concept,freelance
46-0092907,Agimba,2017/12/10,true,4947.94,"Dik, kirk's dik",true
46-0092907,Agimba,2017/12/10,true,4947.94,"Dik, kirk's dik",true
46-0092907,Agimba,2017/12/10,true,4947.94,"Dik, kirk's dik",true
01-7526983,Ailane,2017/11/20,true,18467.43,"Beaver, eurasian",true
01-7526983,Ailane,2017/11/20,true,18467.43,"Beaver, eurasian",true
01-7526983,Ailane,2017/11/20,true,18467.43,"Beaver, eurasian",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
11-8592287,Aimbu,2017/10/11,true,5057.32,"Crow, pied",true
29-8402966,Aivee,2017/06/07,false,14829.83,Scottish highland cow,true
29-8402966,Aivee,2017/06/07,false,14829.83,Scottish highland cow,true
29-8402966,Aivee,2017/06/07,false,14829.83,Scottish highland cow,true
04-4402640,Avamm,2017/10/12,true,16003.9,Aardwolf,true
04-4402640,Avamm,2017/10/12,true,16003.9,Aardwolf,true
04-4402640,Avamm,2017/10/12,true,16003.9,Aardwolf,true
42-6976970,Babbleset,2017/07/06,true,16072.49,Harbor seal,true
42-6976970,Babbleset,2017/07/06,true,16072.49,Harbor seal,true
42-6976970,Babbleset,2017/07/06,true,16072.49,Harbor seal,true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
22-0498492,Babblestorm,2017/04/24,true,6662.64,"Zebra, plains",true
89-2903811,Brainlounge,2017/02/05,false,4352.32,Chimpanzee,true
89-2903811,Brainlounge,2017/02/05,false,4352.32,Chimpanzee,true
01-0797804,Browsetype,2017/03/30,false,2437.01,Sally lightfoot crab,true
01-0797804,Browsetype,2017/03/30,false,2437.01,Sally lightfoot crab,true
01-0797804,Browsetype,2017/03/30,false,2437.01,Sally lightfoot crab,true
37-4712671,Browsezoom,2017/05/24,false,845.57,"Glider, squirrel",true
37-4712671,Browsezoom,2017/05/24,false,845.57,"Glider, squirrel",true
37-4712671,Browsezoom,2017/05/24,false,845.57,"Glider, squirrel",true
60-7123717,Bubblebox,2017/05/08,true,1621.03,River wallaby,true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
60-7123717,Bubblebox,2017/05/08,true,1621.03,River wallaby,true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
60-7123717,Bubblebox,2017/05/08,true,1621.03,River wallaby,true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
63-3365525,Bubblebox,2017/10/31,false,6927.39,"Pigeon, feral rock",true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
